School,Education region,Financial year,Type 1,Description 1,Type 2,Description 2,Type 3,Description 3,Longitude,Latitude
Parkview School,"Canterbury, Chatham Islands",2023,Disagreement,"We disagreed with the Board not having a provision for cyclical maintenance. This is a departure from the relevant financial reporting standard, which requires that a provision be recorded where there is a present obligation that will be required to be settled and the obligation can be reliably estimated. The Board has not calculated the financial effect of this departure from the reporting standard.",,,,,172.705631,-43.4806
Pitt Island School,"Canterbury, Chatham Islands",2023,Limitation,"Our audit was limited because we were unable to obtain enough appropriate evidence to determine whether the provision for cyclical maintenance was complete. Due to the absence of evidence, it is possible that this provision could be materially misstated.",,,,,183.765301,-44.243558
Redwood School (Christchurch),"Canterbury, Chatham Islands",2023,Disagreement,"We disagreed with the Board not having a provision for cyclical maintenance. This is a departure from the relevant financial reporting standard, which requires that a provision be recorded where there is a present obligation that will be required to be settled and the obligation can be reliably estimated. The Board has not calculated the financial effect of this departure from the reporting standard.",,,,,172.621954,-43.473605
Riccarton School,"Canterbury, Chatham Islands",2023,Disagreement,"We disagreed with the Board not having a provision for cyclical maintenance. This is a departure from the relevant financial reporting standard, which requires that a provision be recorded where there is a present obligation that will be required to be settled, and the obligation can be reliably estimated. The Board has not calculated the financial effect of this departure from the reporting standard.",,,,,172.564144,-43.533363
Te Ara Maurea Roydvale School,"Canterbury, Chatham Islands",2023,Disagreement,"We disagreed with the Board not having a provision for cyclical maintenance. This is a departure from the relevant financial reporting standard, which requires that a provision be recorded where there is a present obligation that will be required to be settled and the obligation can be reliably estimated. The Board has not calculated the financial effect of this departure from the reporting standard.",,,,,172.563148,-43.494484
Shirley School,"Canterbury, Chatham Islands",2023,Disagreement,"We disagreed with the Board not having a provision for cyclical maintenance. This is a departure from the relevant financial reporting standard, which requires that a provision be recorded where there is a present obligation that will be required to be settled and the obligation can be reliably estimated. The Board has not calculated the financial effect of this departure from the reporting standard.",,,,,172.653152,-43.507888
South New Brighton School,"Canterbury, Chatham Islands",2023,Disagreement,"We disagreed with the Board not having a provision for cyclical maintenance. This is a departure from the relevant financial reporting standard, which requires that a provision be recorded where there is a present obligation that will be required to be settled, and the obligation can be reliably estimated. The Board has not calculated the financial effect of this departure from the reporting standard.",,,,,172.733527,-43.52622
Saint Martins School,"Canterbury, Chatham Islands",2023,Limitation,"Our audit was limited because we were unable to obtain enough appropriate evidence to determine whether the provision for cyclical maintenance was complete. Due to the absence of evidence, it is possible that this provision could be materially misstated.",,,,,172.657232,-43.565432
Sumner School,"Canterbury, Chatham Islands",2023,Disagreement,"We disagreed with the Board not having a provision for cyclical maintenance. This is a departure from the relevant financial reporting standard, which requires that a provision be recorded where there is a present obligation that will be required to be settled and the obligation can be reliably estimated. The Board has not calculated the financial effect of this departure from the reporting standard.",,,,,172.759628,-43.573098
Templeton Primary School,"Canterbury, Chatham Islands",2023,Disagreement,"We disagreed with the Board not having a provision for cyclical maintenance. This is a departure from the relevant financial reporting standard, which requires that a provision be recorded where there is a present obligation that will be required to be settled, and the obligation can be reliably estimated. The Board has not calculated the financial effect of this departure from the reporting standard.",,,,,172.472361,-43.550162
Te Kura o Huriawa Thorrington,"Canterbury, Chatham Islands",2023,Disagreement,"We disagreed with the Board not having a provision for cyclical maintenance. This is a departure from the relevant financial reporting standard, which requires that a provision be recorded where there is a present obligation that will be required to be settled, and the obligation can be reliably estimated. The Board has not calculated the financial effect of this departure from the reporting standard.",,,,,172.636568,-43.566305
