School,Education region,Financial year,Type 1,Description 1,Type 2,Description 2,Type 3,Description 3,Longitude,Latitude
Diamond Harbour School,"Canterbury, Chatham Islands",2023,Disagreement,"We disagreed with the Board not having a provision for cyclical maintenance. This is a departure from the relevant financial reporting standard, which requires that a provision be recorded where there is a present obligation that will be required to be settled and the obligation can be reliably estimated. The Board has not calculated the financial effect of this departure from the reporting standard.",,,,,172.726705,-43.629962
Elmwood Normal School,"Canterbury, Chatham Islands",2023,Disagreement,"We disagreed with the Board not having a provision for cyclical maintenance. This is a departure from the relevant financial reporting standard, which requires that a provision be recorded where there is a present obligation that will be required to be settled and the obligation can be reliably estimated. The Board has not calculated the financial effect of this departure from the reporting standard.",,,,,172.614755,-43.513814
Harewood School,"Canterbury, Chatham Islands",2023,Disagreement,"We disagreed with the Board not having a provision for cyclical maintenance. This is a departure from the relevant financial reporting standard, which requires that a provision be recorded where there is a present obligation that will be required to be settled and the obligation can be reliably estimated. The Board has not calculated the financial effect of this departure from the reporting standard.",,,,,172.559446,-43.479772
Heaton Normal Intermediate,"Canterbury, Chatham Islands",2023,Disagreement,"We disagreed with the Board not having a provision for cyclical maintenance. This is a departure from the relevant financial reporting standard, which requires that a provision be recorded where there is a present obligation that will be required to be settled and the obligation can be reliably estimated. The Board has not calculated the financial effect of this departure from the reporting standard.",,,,,172.615408,-43.510414
Kirkwood Intermediate,"Canterbury, Chatham Islands",2023,Disagreement,"We disagreed with the Board not having a provision for cyclical maintenance. This is a departure from the relevant financial reporting standard, which requires that a provision be recorded where there is a present obligation that will be required to be settled and the obligation can be reliably estimated. The Board has not calculated the financial effect of this departure from the reporting standard.",,,,,172.585501,-43.530607
Leithfield School Te Kura o Kōwai,"Canterbury, Chatham Islands",2023,Limitation,"Our audit was limited because we were unable to obtain enough appropriate evidence to determine whether the provision for cyclical maintenance was complete. Due to the absence of evidence, it is possible that this provision could be materially misstated.",,,,,172.740036,-43.197813
Linwood Avenue School,"Canterbury, Chatham Islands",2023,Disagreement,"We disagreed with the Board not having a provision for cyclical maintenance. This is a departure from the relevant financial reporting standard, which requires that a provision be recorded where there is a present obligation that will be required to be settled and the obligation can be reliably estimated. The Board has not calculated the financial effect of this departure from the reporting standard.",,,,,172.67488,-43.535284
Marshland School,"Canterbury, Chatham Islands",2023,Disagreement,"We disagreed with the Board not having a provision for cyclical maintenance. This is a departure from the relevant financial reporting standard, which requires that a provision be recorded where there is a present obligation that will be required to be settled and the obligation can be reliably estimated. The Board has not calculated the financial effect of this departure from the reporting standard.",,,,,172.664748,-43.472028
Merrin School,"Canterbury, Chatham Islands",2023,Disagreement,"We disagreed with the Board not having a provision for cyclical maintenance. This is a departure from the relevant financial reporting standard, which requires that a provision be recorded where there is a present obligation that will be required to be settled, and the obligation can be reliably estimated. The Board has not calculated the financial effect of this departure from the reporting standard.",,,,,172.558579,-43.510497
North Loburn School,"Canterbury, Chatham Islands",2023,Limitation,"Our audit was limited because we were unable to obtain enough appropriate evidence to determine whether the provision for cyclical maintenance was complete. Due to the absence of evidence, it is possible that this provision could be materially misstated. ",,,,,172.493841,-43.207605
